region_code,label,count
x156y096,x156y096,"1"
x156y098,x156y098,"1"
x157y096,x157y096,"1"
x157y097,x157y097,"1"
x157y098,x157y098,"1"
x157y099,x157y099,"1"
x158y097,x158y097,"1"
x158y098,x158y098,"1"
x163y095,x163y095,"1"
x163y096,x163y096,"1"
x163y104,x163y104,"1"
x163y105,x163y105,"1"
x164y091,x164y091,"1"
x164y092,x164y092,"1"
x164y093,x164y093,"1"
x164y094,x164y094,"1"
x164y095,x164y095,"1"
x164y096,x164y096,"1"
x164y097,x164y097,"1"
x164y098,x164y098,"1"
x164y099,x164y099,"1"
x164y100,x164y100,"1"
x164y101,x164y101,"1"
x164y102,x164y102,"1"
x164y103,x164y103,"1"
x164y104,x164y104,"1"
x164y105,x164y105,"1"
x164y106,x164y106,"1"
x164y107,x164y107,"1"
x165y091,x165y091,"1"
x165y092,x165y092,"1"
x165y093,x165y093,"1"
x165y094,x165y094,"1"
x165y095,x165y095,"1"
x165y096,x165y096,"1"
x165y097,x165y097,"1"
x165y098,x165y098,"1"
x165y099,x165y099,"1"
x165y100,x165y100,"1"
x165y101,x165y101,"1"
x165y102,x165y102,"1"
x165y103,x165y103,"1"
x165y104,x165y104,"1"
x165y105,x165y105,"1"
x165y106,x165y106,"1"
x165y107,x165y107,"1"
x165y108,x165y108,"1"
x166y090,x166y090,"1"
x166y091,x166y091,"1"
x166y092,x166y092,"1"
x166y093,x166y093,"1"
x166y094,x166y094,"1"
x166y095,x166y095,"1"
x166y096,x166y096,"1"
x166y097,x166y097,"1"
x166y098,x166y098,"1"
x166y099,x166y099,"1"
x166y100,x166y100,"1"
x166y101,x166y101,"1"
x166y102,x166y102,"1"
x166y103,x166y103,"1"
x166y104,x166y104,"1"
x166y105,x166y105,"1"
x166y106,x166y106,"1"
x166y107,x166y107,"1"
x166y108,x166y108,"1"
x166y109,x166y109,"1"
x166y110,x166y110,"1"
x166y111,x166y111,"1"
x167y087,x167y087,"1"
x167y088,x167y088,"1"
x167y089,x167y089,"1"
x167y090,x167y090,"1"
x167y091,x167y091,"1"
x167y092,x167y092,"1"
x167y093,x167y093,"1"
x167y094,x167y094,"1"
x167y095,x167y095,"1"
x167y096,x167y096,"1"
x167y097,x167y097,"1"
x167y098,x167y098,"1"
x167y099,x167y099,"1"
x167y100,x167y100,"1"
x167y101,x167y101,"1"
x167y102,x167y102,"1"
x167y103,x167y103,"1"
x167y104,x167y104,"1"
x167y105,x167y105,"1"
x167y106,x167y106,"1"
x167y107,x167y107,"1"
x167y108,x167y108,"1"
x167y109,x167y109,"1"
x167y110,x167y110,"1"
x167y111,x167y111,"1"
x167y112,x167y112,"1"
x168y086,x168y086,"1"
x168y087,x168y087,"1"
x168y088,x168y088,"1"
x168y089,x168y089,"1"
x168y090,x168y090,"1"
x168y091,x168y091,"1"
x168y092,x168y092,"1"
x168y093,x168y093,"1"
x168y094,x168y094,"1"
x168y095,x168y095,"1"
x168y096,x168y096,"1"
x168y097,x168y097,"1"
x168y098,x168y098,"1"
x168y099,x168y099,"1"
x168y100,x168y100,"1"
x168y101,x168y101,"1"
x168y102,x168y102,"1"
x168y103,x168y103,"1"
x168y104,x168y104,"1"
x168y105,x168y105,"1"
x168y106,x168y106,"1"
x168y107,x168y107,"1"
x168y108,x168y108,"1"
x168y109,x168y109,"1"
x168y110,x168y110,"1"
x168y111,x168y111,"1"
x168y112,x168y112,"1"
x169y085,x169y085,"1"
x169y086,x169y086,"1"
x169y087,x169y087,"1"
x169y088,x169y088,"1"
x169y089,x169y089,"1"
x169y090,x169y090,"1"
x169y091,x169y091,"1"
x169y092,x169y092,"1"
x169y093,x169y093,"1"
x169y094,x169y094,"1"
x169y095,x169y095,"1"
x169y096,x169y096,"1"
x169y097,x169y097,"1"
x169y098,x169y098,"1"
x169y099,x169y099,"1"
x169y100,x169y100,"1"
x169y101,x169y101,"1"
x169y102,x169y102,"1"
x169y103,x169y103,"1"
x169y104,x169y104,"1"
x169y105,x169y105,"1"
x169y106,x169y106,"1"
x169y107,x169y107,"1"
x169y108,x169y108,"1"
x169y109,x169y109,"1"
x169y110,x169y110,"1"
x169y111,x169y111,"1"
x169y112,x169y112,"1"
x169y113,x169y113,"1"
x170y084,x170y084,"1"
x170y085,x170y085,"1"
x170y086,x170y086,"1"
x170y087,x170y087,"1"
x170y088,x170y088,"1"
x170y089,x170y089,"1"
x170y090,x170y090,"1"
x170y091,x170y091,"1"
x170y092,x170y092,"1"
x170y093,x170y093,"1"
x170y094,x170y094,"1"
x170y095,x170y095,"1"
x170y096,x170y096,"1"
x170y097,x170y097,"1"
x170y098,x170y098,"1"
x170y099,x170y099,"1"
x170y100,x170y100,"1"
x170y101,x170y101,"1"
x170y102,x170y102,"1"
x170y103,x170y103,"1"
x170y104,x170y104,"1"
x170y105,x170y105,"1"
x170y106,x170y106,"1"
x170y107,x170y107,"1"
x170y108,x170y108,"1"
x170y109,x170y109,"1"
x170y110,x170y110,"1"
x170y111,x170y111,"1"
x170y112,x170y112,"1"
x170y113,x170y113,"1"
x170y114,x170y114,"1"
x171y083,x171y083,"1"
x171y084,x171y084,"1"
x171y085,x171y085,"1"
x171y086,x171y086,"1"
x171y087,x171y087,"1"
x171y088,x171y088,"1"
x171y089,x171y089,"1"
x171y090,x171y090,"1"
x171y091,x171y091,"1"
x171y092,x171y092,"1"
x171y093,x171y093,"1"
x171y094,x171y094,"1"
x171y095,x171y095,"1"
x171y096,x171y096,"1"
x171y097,x171y097,"1"
x171y098,x171y098,"1"
x171y099,x171y099,"1"
x171y100,x171y100,"1"
x171y101,x171y101,"1"
x171y102,x171y102,"1"
x171y103,x171y103,"1"
x171y104,x171y104,"1"
x171y105,x171y105,"1"
x171y106,x171y106,"1"
x171y107,x171y107,"1"
x171y108,x171y108,"1"
x171y109,x171y109,"1"
x171y110,x171y110,"1"
x171y111,x171y111,"1"
x171y112,x171y112,"1"
x171y113,x171y113,"1"
x171y114,x171y114,"1"
x171y115,x171y115,"1"
x171y116,x171y116,"1"
x171y117,x171y117,"1"
x171y118,x171y118,"1"
x172y082,x172y082,"1"
x172y083,x172y083,"1"
x172y084,x172y084,"1"
x172y085,x172y085,"1"
x172y086,x172y086,"1"
x172y087,x172y087,"1"
x172y088,x172y088,"1"
x172y089,x172y089,"1"
x172y090,x172y090,"1"
x172y091,x172y091,"1"
x172y092,x172y092,"1"
x172y093,x172y093,"1"
x172y094,x172y094,"1"
x172y095,x172y095,"1"
x172y096,x172y096,"1"
x172y097,x172y097,"1"
x172y098,x172y098,"1"
x172y099,x172y099,"1"
x172y100,x172y100,"1"
x172y101,x172y101,"1"
x172y102,x172y102,"1"
x172y103,x172y103,"1"
x172y104,x172y104,"1"
x172y105,x172y105,"1"
x172y106,x172y106,"1"
x172y107,x172y107,"1"
x172y108,x172y108,"1"
x172y109,x172y109,"1"
x172y110,x172y110,"1"
x172y111,x172y111,"1"
x172y112,x172y112,"1"
x172y113,x172y113,"1"
x172y114,x172y114,"1"
x172y115,x172y115,"1"
x172y116,x172y116,"1"
x172y117,x172y117,"1"
x172y118,x172y118,"1"
x172y119,x172y119,"1"
x173y082,x173y082,"1"
x173y083,x173y083,"1"
x173y084,x173y084,"1"
x173y085,x173y085,"1"
x173y086,x173y086,"1"
x173y087,x173y087,"1"
x173y088,x173y088,"1"
x173y089,x173y089,"1"
x173y090,x173y090,"1"
x173y091,x173y091,"1"
x173y092,x173y092,"1"
x173y093,x173y093,"1"
x173y094,x173y094,"1"
x173y095,x173y095,"1"
x173y096,x173y096,"1"
x173y097,x173y097,"1"
x173y098,x173y098,"1"
x173y099,x173y099,"1"
x173y100,x173y100,"1"
x173y101,x173y101,"1"
x173y102,x173y102,"1"
x173y103,x173y103,"1"
x173y104,x173y104,"1"
x173y105,x173y105,"1"
x173y106,x173y106,"1"
x173y107,x173y107,"1"
x173y108,x173y108,"1"
x173y109,x173y109,"1"
x173y110,x173y110,"1"
x173y111,x173y111,"1"
x173y112,x173y112,"1"
x173y113,x173y113,"1"
x173y114,x173y114,"1"
x173y115,x173y115,"1"
x173y116,x173y116,"1"
x173y117,x173y117,"1"
x173y118,x173y118,"1"
x173y119,x173y119,"1"
x174y083,x174y083,"1"
x174y084,x174y084,"1"
x174y085,x174y085,"1"
x174y086,x174y086,"1"
x174y087,x174y087,"1"
x174y088,x174y088,"1"
x174y089,x174y089,"1"
x174y090,x174y090,"1"
x174y091,x174y091,"1"
x174y092,x174y092,"1"
x174y093,x174y093,"1"
x174y094,x174y094,"1"
x174y095,x174y095,"1"
x174y096,x174y096,"1"
x174y097,x174y097,"1"
x174y098,x174y098,"1"
x174y099,x174y099,"1"
x174y100,x174y100,"1"
x174y101,x174y101,"1"
x174y102,x174y102,"1"
x174y103,x174y103,"1"
x174y104,x174y104,"1"
x174y105,x174y105,"1"
x174y106,x174y106,"1"
x174y107,x174y107,"1"
x174y108,x174y108,"1"
x174y109,x174y109,"1"
x174y110,x174y110,"1"
x174y111,x174y111,"1"
x174y112,x174y112,"1"
x174y113,x174y113,"1"
x174y114,x174y114,"1"
x174y115,x174y115,"1"
x174y116,x174y116,"1"
x174y117,x174y117,"1"
x174y118,x174y118,"1"
x174y119,x174y119,"1"
x174y120,x174y120,"1"
x174y121,x174y121,"1"
x175y083,x175y083,"1"
x175y084,x175y084,"1"
x175y085,x175y085,"1"
x175y086,x175y086,"1"
x175y087,x175y087,"1"
x175y088,x175y088,"1"
x175y089,x175y089,"1"
x175y090,x175y090,"1"
x175y091,x175y091,"1"
x175y092,x175y092,"1"
x175y093,x175y093,"1"
x175y094,x175y094,"1"
x175y095,x175y095,"1"
x175y096,x175y096,"1"
x175y097,x175y097,"1"
x175y098,x175y098,"1"
x175y099,x175y099,"1"
x175y100,x175y100,"1"
x175y101,x175y101,"1"
x175y102,x175y102,"1"
x175y103,x175y103,"1"
x175y104,x175y104,"1"
x175y105,x175y105,"1"
x175y106,x175y106,"1"
x175y107,x175y107,"1"
x175y108,x175y108,"1"
x175y109,x175y109,"1"
x175y110,x175y110,"1"
x175y111,x175y111,"1"
x175y112,x175y112,"1"
x175y113,x175y113,"1"
x175y114,x175y114,"1"
x175y115,x175y115,"1"
x175y116,x175y116,"1"
x175y117,x175y117,"1"
x175y118,x175y118,"1"
x175y119,x175y119,"1"
x175y120,x175y120,"1"
x175y121,x175y121,"1"
x176y083,x176y083,"1"
x176y084,x176y084,"1"
x176y085,x176y085,"1"
x176y086,x176y086,"1"
x176y087,x176y087,"1"
x176y088,x176y088,"1"
x176y089,x176y089,"1"
x176y090,x176y090,"1"
x176y091,x176y091,"1"
x176y092,x176y092,"1"
x176y093,x176y093,"1"
x176y094,x176y094,"1"
x176y095,x176y095,"1"
x176y096,x176y096,"1"
x176y097,x176y097,"1"
x176y098,x176y098,"1"
x176y099,x176y099,"1"
x176y100,x176y100,"1"
x176y101,x176y101,"1"
x176y102,x176y102,"1"
x176y103,x176y103,"1"
x176y104,x176y104,"1"
x176y105,x176y105,"1"
x176y106,x176y106,"1"
x176y107,x176y107,"1"
x176y108,x176y108,"1"
x176y109,x176y109,"1"
x176y110,x176y110,"1"
x176y111,x176y111,"1"
x176y112,x176y112,"1"
x176y113,x176y113,"1"
x176y114,x176y114,"1"
x176y115,x176y115,"1"
x176y116,x176y116,"1"
x176y117,x176y117,"1"
x176y118,x176y118,"1"
x176y119,x176y119,"1"
x176y120,x176y120,"1"
x176y121,x176y121,"1"
x177y083,x177y083,"1"
x177y084,x177y084,"1"
x177y085,x177y085,"1"
x177y086,x177y086,"1"
x177y087,x177y087,"1"
x177y088,x177y088,"1"
x177y089,x177y089,"1"
x177y090,x177y090,"1"
x177y091,x177y091,"1"
x177y092,x177y092,"1"
x177y093,x177y093,"1"
x177y094,x177y094,"1"
x177y095,x177y095,"1"
x177y096,x177y096,"1"
x177y097,x177y097,"1"
x177y098,x177y098,"1"
x177y099,x177y099,"1"
x177y100,x177y100,"1"
x177y101,x177y101,"1"
x177y102,x177y102,"1"
x177y103,x177y103,"1"
x177y104,x177y104,"1"
x177y105,x177y105,"1"
x177y106,x177y106,"1"
x177y107,x177y107,"1"
x177y108,x177y108,"1"
x177y109,x177y109,"1"
x177y110,x177y110,"1"
x177y111,x177y111,"1"
x177y112,x177y112,"1"
x177y113,x177y113,"1"
x177y114,x177y114,"1"
x177y115,x177y115,"1"
x177y116,x177y116,"1"
x177y117,x177y117,"1"
x177y118,x177y118,"1"
x177y119,x177y119,"1"
x177y120,x177y120,"1"
x177y121,x177y121,"1"
x178y083,x178y083,"1"
x178y084,x178y084,"1"
x178y085,x178y085,"1"
x178y086,x178y086,"1"
x178y087,x178y087,"1"
x178y088,x178y088,"1"
x178y089,x178y089,"1"
x178y090,x178y090,"1"
x178y091,x178y091,"1"
x178y092,x178y092,"1"
x178y093,x178y093,"1"
x178y094,x178y094,"1"
x178y095,x178y095,"1"
x178y096,x178y096,"1"
x178y097,x178y097,"1"
x178y098,x178y098,"1"
x178y099,x178y099,"1"
x178y100,x178y100,"1"
x178y101,x178y101,"1"
x178y102,x178y102,"1"
x178y103,x178y103,"1"
x178y104,x178y104,"1"
x178y105,x178y105,"1"
x178y106,x178y106,"1"
x178y107,x178y107,"1"
x178y108,x178y108,"1"
x178y109,x178y109,"1"
x178y110,x178y110,"1"
x178y111,x178y111,"1"
x178y112,x178y112,"1"
x178y113,x178y113,"1"
x178y114,x178y114,"1"
x178y115,x178y115,"1"
x178y116,x178y116,"1"
x178y117,x178y117,"1"
x178y118,x178y118,"1"
x178y119,x178y119,"1"
x178y120,x178y120,"1"
x178y121,x178y121,"1"
x179y083,x179y083,"1"
x179y084,x179y084,"1"
x179y085,x179y085,"1"
x179y086,x179y086,"1"
x179y087,x179y087,"1"
x179y088,x179y088,"1"
x179y089,x179y089,"1"
x179y090,x179y090,"1"
x179y091,x179y091,"1"
x179y092,x179y092,"1"
x179y093,x179y093,"1"
x179y094,x179y094,"1"
x179y095,x179y095,"1"
x179y096,x179y096,"1"
x179y097,x179y097,"1"
x179y098,x179y098,"1"
x179y099,x179y099,"1"
x179y100,x179y100,"1"
x179y101,x179y101,"1"
x179y102,x179y102,"1"
x179y103,x179y103,"1"
x179y104,x179y104,"1"
x179y105,x179y105,"1"
x179y106,x179y106,"1"
x179y107,x179y107,"1"
x179y108,x179y108,"1"
x179y109,x179y109,"1"
x179y110,x179y110,"1"
x179y111,x179y111,"1"
x179y112,x179y112,"1"
x179y113,x179y113,"1"
x179y114,x179y114,"1"
x179y115,x179y115,"1"
x179y116,x179y116,"1"
x179y117,x179y117,"1"
x179y118,x179y118,"1"
x179y119,x179y119,"1"
x179y120,x179y120,"1"
x179y121,x179y121,"1"
x180y083,x180y083,"1"
x180y084,x180y084,"1"
x180y085,x180y085,"1"
x180y086,x180y086,"1"
x180y087,x180y087,"1"
x180y088,x180y088,"1"
x180y089,x180y089,"1"
x180y090,x180y090,"1"
x180y091,x180y091,"1"
x180y092,x180y092,"1"
x180y093,x180y093,"1"
x180y094,x180y094,"1"
x180y095,x180y095,"1"
x180y096,x180y096,"1"
x180y097,x180y097,"1"
x180y098,x180y098,"1"
x180y099,x180y099,"1"
x180y100,x180y100,"1"
x180y101,x180y101,"1"
x180y102,x180y102,"1"
x180y103,x180y103,"1"
x180y104,x180y104,"1"
x180y105,x180y105,"1"
x180y106,x180y106,"1"
x180y107,x180y107,"1"
x180y108,x180y108,"1"
x180y109,x180y109,"1"
x180y110,x180y110,"1"
x180y111,x180y111,"1"
x180y112,x180y112,"1"
x180y113,x180y113,"1"
x180y114,x180y114,"1"
x180y115,x180y115,"1"
x180y116,x180y116,"1"
x180y117,x180y117,"1"
x180y118,x180y118,"1"
x180y119,x180y119,"1"
x180y120,x180y120,"1"
x180y121,x180y121,"1"
x181y084,x181y084,"1"
x181y085,x181y085,"1"
x181y086,x181y086,"1"
x181y087,x181y087,"1"
x181y088,x181y088,"1"
x181y089,x181y089,"1"
x181y090,x181y090,"1"
x181y091,x181y091,"1"
x181y092,x181y092,"1"
x181y093,x181y093,"1"
x181y094,x181y094,"1"
x181y095,x181y095,"1"
x181y096,x181y096,"1"
x181y097,x181y097,"1"
x181y098,x181y098,"1"
x181y099,x181y099,"1"
x181y100,x181y100,"1"
x181y101,x181y101,"1"
x181y102,x181y102,"1"
x181y103,x181y103,"1"
x181y104,x181y104,"1"
x181y105,x181y105,"1"
x181y106,x181y106,"1"
x181y107,x181y107,"1"
x181y108,x181y108,"1"
x181y109,x181y109,"1"
x181y110,x181y110,"1"
x181y111,x181y111,"1"
x181y112,x181y112,"1"
x181y113,x181y113,"1"
x181y114,x181y114,"1"
x181y115,x181y115,"1"
x181y116,x181y116,"1"
x181y117,x181y117,"1"
x181y118,x181y118,"1"
x181y119,x181y119,"1"
x181y120,x181y120,"1"
x181y121,x181y121,"1"
x181y122,x181y122,"1"
x182y084,x182y084,"1"
x182y085,x182y085,"1"
x182y086,x182y086,"1"
x182y087,x182y087,"1"
x182y088,x182y088,"1"
x182y089,x182y089,"1"
x182y090,x182y090,"1"
x182y091,x182y091,"1"
x182y092,x182y092,"1"
x182y093,x182y093,"1"
x182y094,x182y094,"1"
x182y095,x182y095,"1"
x182y096,x182y096,"1"
x182y097,x182y097,"1"
x182y098,x182y098,"1"
x182y099,x182y099,"1"
x182y100,x182y100,"1"
x182y101,x182y101,"1"
x182y102,x182y102,"1"
x182y103,x182y103,"1"
x182y104,x182y104,"1"
x182y105,x182y105,"1"
x182y106,x182y106,"1"
x182y107,x182y107,"1"
x182y108,x182y108,"1"
x182y109,x182y109,"1"
x182y110,x182y110,"1"
x182y111,x182y111,"1"
x182y112,x182y112,"1"
x182y113,x182y113,"1"
x182y114,x182y114,"1"
x182y115,x182y115,"1"
x182y116,x182y116,"1"
x182y117,x182y117,"1"
x182y118,x182y118,"1"
x182y119,x182y119,"1"
x182y120,x182y120,"1"
x182y121,x182y121,"1"
x182y122,x182y122,"1"
x183y085,x183y085,"1"
x183y086,x183y086,"1"
x183y087,x183y087,"1"
x183y088,x183y088,"1"
x183y089,x183y089,"1"
x183y090,x183y090,"1"
x183y091,x183y091,"1"
x183y092,x183y092,"1"
x183y093,x183y093,"1"
x183y094,x183y094,"1"
x183y095,x183y095,"1"
x183y096,x183y096,"1"
x183y097,x183y097,"1"
x183y098,x183y098,"1"
x183y099,x183y099,"1"
x183y100,x183y100,"1"
x183y101,x183y101,"1"
x183y102,x183y102,"1"
x183y103,x183y103,"1"
x183y104,x183y104,"1"
x183y105,x183y105,"1"
x183y106,x183y106,"1"
x183y107,x183y107,"1"
x183y108,x183y108,"1"
x183y109,x183y109,"1"
x183y110,x183y110,"1"
x183y111,x183y111,"1"
x183y112,x183y112,"1"
x183y113,x183y113,"1"
x183y114,x183y114,"1"
x183y115,x183y115,"1"
x183y116,x183y116,"1"
x183y117,x183y117,"1"
x183y118,x183y118,"1"
x183y119,x183y119,"1"
x183y120,x183y120,"1"
x183y121,x183y121,"1"
x183y122,x183y122,"1"
x184y085,x184y085,"1"
x184y086,x184y086,"1"
x184y087,x184y087,"1"
x184y088,x184y088,"1"
x184y089,x184y089,"1"
x184y090,x184y090,"1"
x184y091,x184y091,"1"
x184y092,x184y092,"1"
x184y093,x184y093,"1"
x184y094,x184y094,"1"
x184y095,x184y095,"1"
x184y096,x184y096,"1"
x184y097,x184y097,"1"
x184y098,x184y098,"1"
x184y099,x184y099,"1"
x184y100,x184y100,"1"
x184y101,x184y101,"1"
x184y102,x184y102,"1"
x184y103,x184y103,"1"
x184y104,x184y104,"1"
x184y105,x184y105,"1"
x184y106,x184y106,"1"
x184y107,x184y107,"1"
x184y108,x184y108,"1"
x184y109,x184y109,"1"
x184y110,x184y110,"1"
x184y111,x184y111,"1"
x184y112,x184y112,"1"
x184y113,x184y113,"1"
x184y114,x184y114,"1"
x184y115,x184y115,"1"
x184y116,x184y116,"1"
x184y117,x184y117,"1"
x184y118,x184y118,"1"
x184y119,x184y119,"1"
x184y120,x184y120,"1"
x184y121,x184y121,"1"
x184y122,x184y122,"1"
x185y084,x185y084,"1"
x185y085,x185y085,"1"
x185y086,x185y086,"1"
x185y087,x185y087,"1"
x185y088,x185y088,"1"
x185y089,x185y089,"1"
x185y090,x185y090,"1"
x185y091,x185y091,"1"
x185y092,x185y092,"1"
x185y093,x185y093,"1"
x185y094,x185y094,"1"
x185y095,x185y095,"1"
x185y096,x185y096,"1"
x185y097,x185y097,"1"
x185y098,x185y098,"1"
x185y099,x185y099,"1"
x185y100,x185y100,"1"
x185y101,x185y101,"1"
x185y102,x185y102,"1"
x185y103,x185y103,"1"
x185y104,x185y104,"1"
x185y105,x185y105,"1"
x185y106,x185y106,"1"
x185y107,x185y107,"1"
x185y108,x185y108,"1"
x185y109,x185y109,"1"
x185y110,x185y110,"1"
x185y111,x185y111,"1"
x185y112,x185y112,"1"
x185y113,x185y113,"1"
x185y114,x185y114,"1"
x185y115,x185y115,"1"
x185y116,x185y116,"1"
x185y117,x185y117,"1"
x185y118,x185y118,"1"
x185y119,x185y119,"1"
x185y120,x185y120,"1"
x185y121,x185y121,"1"
x185y122,x185y122,"1"
x186y075,x186y075,"1"
x186y082,x186y082,"1"
x186y083,x186y083,"1"
x186y084,x186y084,"1"
x186y085,x186y085,"1"
x186y086,x186y086,"1"
x186y087,x186y087,"1"
x186y088,x186y088,"1"
x186y089,x186y089,"1"
x186y090,x186y090,"1"
x186y091,x186y091,"1"
x186y092,x186y092,"1"
x186y093,x186y093,"1"
x186y094,x186y094,"1"
x186y095,x186y095,"1"
x186y096,x186y096,"1"
x186y097,x186y097,"1"
x186y098,x186y098,"1"
x186y099,x186y099,"1"
x186y100,x186y100,"1"
x186y101,x186y101,"1"
x186y102,x186y102,"1"
x186y103,x186y103,"1"
x186y104,x186y104,"1"
x186y105,x186y105,"1"
x186y106,x186y106,"1"
x186y107,x186y107,"1"
x186y108,x186y108,"1"
x186y109,x186y109,"1"
x186y110,x186y110,"1"
x186y111,x186y111,"1"
x186y112,x186y112,"1"
x186y113,x186y113,"1"
x186y114,x186y114,"1"
x186y115,x186y115,"1"
x186y116,x186y116,"1"
x186y117,x186y117,"1"
x186y118,x186y118,"1"
x186y119,x186y119,"1"
x186y120,x186y120,"1"
x186y121,x186y121,"1"
x186y122,x186y122,"1"
x187y076,x187y076,"1"
x187y077,x187y077,"1"
x187y082,x187y082,"1"
x187y083,x187y083,"1"
x187y084,x187y084,"1"
x187y085,x187y085,"1"
x187y086,x187y086,"1"
x187y087,x187y087,"1"
x187y088,x187y088,"1"
x187y089,x187y089,"1"
x187y090,x187y090,"1"
x187y091,x187y091,"1"
x187y092,x187y092,"1"
x187y093,x187y093,"1"
x187y094,x187y094,"1"
x187y095,x187y095,"1"
x187y096,x187y096,"1"
x187y097,x187y097,"1"
x187y098,x187y098,"1"
x187y099,x187y099,"1"
x187y100,x187y100,"1"
x187y101,x187y101,"1"
x187y102,x187y102,"1"
x187y103,x187y103,"1"
x187y104,x187y104,"1"
x187y105,x187y105,"1"
x187y106,x187y106,"1"
x187y107,x187y107,"1"
x187y108,x187y108,"1"
x187y109,x187y109,"1"
x187y110,x187y110,"1"
x187y111,x187y111,"1"
x187y112,x187y112,"1"
x187y113,x187y113,"1"
x187y114,x187y114,"1"
x187y115,x187y115,"1"
x187y116,x187y116,"1"
x187y117,x187y117,"1"
x187y118,x187y118,"1"
x187y119,x187y119,"1"
x187y120,x187y120,"1"
x187y121,x187y121,"1"
x187y122,x187y122,"1"
x188y078,x188y078,"1"
x188y079,x188y079,"1"
x188y082,x188y082,"1"
x188y083,x188y083,"1"
x188y084,x188y084,"1"
x188y085,x188y085,"1"
x188y086,x188y086,"1"
x188y087,x188y087,"1"
x188y088,x188y088,"1"
x188y089,x188y089,"1"
x188y090,x188y090,"1"
x188y091,x188y091,"1"
x188y092,x188y092,"1"
x188y093,x188y093,"1"
x188y094,x188y094,"1"
x188y095,x188y095,"1"
x188y096,x188y096,"1"
x188y097,x188y097,"1"
x188y098,x188y098,"1"
x188y099,x188y099,"1"
x188y100,x188y100,"1"
x188y101,x188y101,"1"
x188y102,x188y102,"1"
x188y103,x188y103,"1"
